# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
0.9900  -1.267697590175685e-01  6.782239596350293e-01  2.299938697115090e-01  3.172203723576949e-01
1.0000  -1.194689706079660e-01  7.813135160663217e-01  3.052254051939592e-01  2.817344690427215e-01
1.0100  -1.111565726765692e-01  8.804783978209281e-01  3.876211045146543e-01  2.438933933661323e-01
1.0200  -1.018738091977909e-01  9.753218873629765e-01  4.756263919846394e-01  2.048588977622499e-01
1.0300  -9.166580690323245e-02  1.065464406371319e+00  5.676072006220931e-01  1.658610737292967e-01
1.0400  -8.058139633790667e-02  1.150545014289185e+00  6.618769149528508e-01  1.281738172086158e-01
1.0500  -6.867291829397028e-02  1.230222833310584e+00  7.567241097993610e-01  9.308951075142624e-02
1.0600  -5.599601638596777e-02  1.304178394179615e+00  8.504406419224602e-01  6.189335217729054e-02
1.0700  -4.260941658628397e-02  1.372114897491397e+00  9.413496459589141e-01  3.583776494819482e-02
1.0800  -2.857469459096444e-02  1.433759385516780e+00  1.027832987778728e+00  1.611732397144454e-02
1.0900  -1.395603193409153e-02  1.488863819926135e+00  1.108357737142521e+00  3.844622029543607e-03
1.1000  1.180038186691465e-03  1.537206061158886e+00  1.181501237231809e+00  2.748665327411788e-05
1.1100  1.676489437030931e-02  1.578590745573625e+00  1.245974371005346e+00  5.547935251916758e-03
1.1200  3.272809871819208e-02  1.612850056917031e+00  1.300642653048634e+00  2.114322804377795e-02
1.1300  4.899767571363249e-02  1.639844389066935e+00  1.344544810177154e+00  4.738934424242378e-02
1.1400  6.550039717386456e-02  1.659462897433926e+00  1.376908553979901e+00  8.468716759327853e-02
1.1500  8.216207215019815e-02  1.671623936845335e+00  1.397163293117148e+00  1.332516233494449e-01
1.1600  9.890784063201603e-02  1.676275384183409e+00  1.404949581809618e+00  1.931039608266180e-01
1.1700  1.156624698954270e-01  1.673394844504353e+00  1.400125152806873e+00  2.640673245495042e-01
1.1800  1.323506523269315e-01  1.662989739824713e+00  1.382767437381133e+00  3.457657035116757e-01
1.1900  1.488973035466343e-01  1.645097280224686e+00  1.353172530701329e+00  4.376262930705538e-01
1.2000  1.652278596543562e-01  1.619784317382336e+00  1.311850617418880e+00  5.388852483667989e-01
1.2100  1.812685724254579e-01  1.587147081116730e+00  1.259517928548678e+00  6.485967527807960e-01
1.2200  1.969468012912812e-01  1.547310799979692e+00  1.197085355866897e+00  7.656452707024941e-01
1.2300  2.121913009517989e-01  1.500429207393484e+00  1.125643903199720e+00  8.887608016612794e-01
1.2400  2.269325034853072e-01  1.446683935283444e+00  1.046447204303596e+00  1.016536903475139e+00
1.2500  2.411027938417067e-01  1.386283797598576e+00  9.608913837421654e-01  1.147451206323773e+00
1.2600  2.546367776320327e-01  1.319463966547705e+00  8.704925795089017e-01  1.279888098262039e+00
1.2700  2.674715401572976e-01  1.246485044802154e+00  7.768624834577142e-01  1.412163226332917e+00
1.2800  2.795468956542812e-01  1.167632037326527e+00  6.816822872956481e-01  1.542549426698397e+00
1.2900  2.908056257745165e-01  1.083213226895265e+00  5.866754474604264e-01  1.669303672579103e+00
1.3000  3.011937063552054e-01  9.935589577327787e-01  4.935797012455228e-01  1.790694610679197e+00
1.3100  3.106605215870110e-01  8.990203320775354e-01  4.041187787444010e-01  1.905030245469544e+00
1.3200  3.191590647334037e-01  7.999678248141459e-01  3.199742603689380e-01  2.010685326398753e+00
1.3300  3.266461246093219e-01  6.967898216408347e-01  2.427580277711331e-01  2.106127995877543e+00
1.3400  3.330824570831017e-01  5.898910865414535e-01  1.739857469905283e-01  2.189945265703698e+00
1.3500  3.384329409247402e-01  4.796911646101991e-01  1.150518067025445e-01  2.260866906318072e+00
1.3600  3.426667173853334e-01  3.666227265323345e-01  6.720611180500147e-02  2.317787356652532e+00
1.3700  3.457573129567353e-01  2.511298612544671e-01  3.153310360684396e-02  2.359785291989183e+00
1.3800  3.476827448268648e-01  1.336663235824114e-01  8.933343030018959e-03  2.386140522737259e+00
1.3900  3.484256086143778e-01  1.469374362254707e-02  1.079530508225714e-04  2.396347937798302e+00
1.4000  3.479731480363591e-01  -1.053201948668328e-01  5.546171723393816e-03  2.390128251595702e+00
1.4100  3.463173062339894e-01  -2.259036000249864e-01  2.551621825212453e-02  2.367435363182054e+00
1.4200  3.434547585535286e-01  -3.465822340554799e-01  6.005962248144372e-02  2.328460188334629e+00
1.4300  3.393869266531484e-01  -4.668813846611307e-01  1.089891136715473e-01  2.273630880382635e+00
1.4400  3.341199738798390e-01  -5.863277383614569e-01  1.718901083860305e-01  2.203609411819313e+00
1.4500  3.276647819345394e-01  -7.044512482995183e-01  2.481257806153748e-01  2.119284545652433e+00
1.4600  3.200369089174817e-01  -8.207869891667853e-01  3.368456407927383e-01  2.021761282043649e+00
1.4700  3.112565289192292e-01  -9.348769919255064e-01  4.369974950158417e-01  1.912346921189434e+00
1.4800  3.013483533957126e-01  -1.046272051087776e+00  5.473426024437108e-01  1.792533936730707e+00
1.4900  2.903415346374646e-01  -1.154533497418811e+00  6.664737983310559e-01  1.663979904403988e+00
1.5000  2.782695517139139e-01  -1.259234929068396e+00  7.928363032929435e-01  1.528484777367055e+00
1.5100  2.651700793427668e-01  -1.359963894298518e+00  9.247508968977952e-01  1.387965841908454e+00
1.5200  2.510848402018885e-01  -1.456323519166252e+00  1.060439096238388e+00  1.244430724412988e+00
1.5300  2.360594412664421e-01  -1.547934073738167e+00  1.198049948319819e+00  1.099948851914914e+00
1.5400  2.201431948170876e-01  -1.634434470655151e+00  1.335688019432892e+00  9.566217938264108e-01
1.5500  2.033889248255415e-01  -1.715483690133481e+00  1.471442145556992e+00  8.165529310773717e-01
1.5600  1.858527594815030e-01  -1.790762125778339e+00  1.603414495561077e+00  6.818169106436707e-01
1.5700  1.675939106796490e-01  -1.859972845898455e+00  1.729749493739799e+00  5.544293480827740e-01
1.5800  1.486744413368637e-01  -1.922842765344045e+00  1.848662150117967e+00  4.363172381573358e-01
1.5900  1.291590214578917e-01  -1.979123723243342e+00  1.958465355952295e+00  3.292905239411238e-01
1.6000  1.091146739120165e-01  -2.028593462384388e+00  2.057595717814339e+00  2.350152581113489e-01
1.6100  8.861051092396452e-02  -2.071056506376902e+00  2.144637526303049e+00  1.549887666911364e-01
1.6200  6.771746231888556e-02  -2.106344931132488e+00  2.218344484453763e+00  9.051719567542710e-02
1.6300  4.650799659380354e-02  -2.134319027618476e+00  2.277658855827140e+00  4.269578521318063e-02
1.6400  2.505583591624016e-02  -2.154867853269820e+00  2.321727732527842e+00  1.239217488176326e-02
1.6500  3.435666174682177e-03  -2.167909669882878e+00  2.349916168385844e+00  2.329977135980271e-04
1.6600  -1.827715677490905e-02  -2.173392266262893e+00  2.361816971525677e+00  6.593970732789911e-03
1.6700  -4.000690350733487e-02  -2.171293164351839e+00  2.357257002780512e+00  3.159363660604535e-02
1.6800  -6.167776890149473e-02  -2.161619708023119e+00  2.336299881056977e+00  7.509085543443257e-02
1.6900  -8.321417031334906e-02  -2.144409034192682e+00  2.299245052963597e+00  1.366860885751748e-01
1.7000  -1.045410448718572e-01  -2.119727926360568e+00  2.246623240896436e+00  2.157264585751043e-01
1.7100  -1.255841447246979e-01  -2.087672551160849e+00  2.179188340435225e+00  3.113145117196141e-01
1.7200  -1.462703290686724e-01  -2.048368078959710e+00  2.097905893450546e+00  4.223205532493930e-01
1.7300  -1.665278518123782e-01  -2.001968189998945e+00  2.003938316883827e+00  5.473983708508036e-01
1.7400  -1.862866437359795e-01  -1.948654468033914e+00  1.898627117894267e+00  6.850041104319468e-01
1.7500  -2.054785880346179e-01  -1.888635683858948e+00  1.783472373172677e+00  8.334180202580592e-01
