# omega0=1, alpha=0.233
# theta0=0.8, theta_dot0=0
# t_start=0, t_end=50, h=0.00911928
#   t          x(t)                 v(t)       
7.751389711324567e+00 1.697448533656776e-01 8.372434349019513e-02
7.842582531457797e+00 1.770909382254071e-01 7.744984455853313e-02
7.933775351591027e+00 1.838820810822617e-01 7.155305539546467e-02
8.024968171724257e+00 1.901524765413284e-01 6.602741847214438e-02
8.116160991857488e+00 1.959354323589249e-01 6.086011191165810e-02
8.207353811990718e+00 2.012628182987691e-01 5.603249947069071e-02
8.298546632123948e+00 2.061645583122226e-01 5.152062964524406e-02
8.389739452257178e+00 2.106681702264810e-01 4.729577739793995e-02
8.480932272390408e+00 2.147983565285139e-01 4.332502194216772e-02
8.572125092523638e+00 2.185766492322926e-01 3.957185398839987e-02
8.663317912656868e+00 2.220211112153069e-01 3.599680586016057e-02
8.754510732790099e+00 2.251460958105473e-01 3.255809792276238e-02
8.845703552923329e+00 2.279620658451584e-01 2.921229483928144e-02
8.936896373056559e+00 2.304754727302308e-01 2.591496527777467e-02
9.028089193189789e+00 2.326886956312740e-01 2.262133884353604e-02
9.119282013323019e+00 2.346000401895288e-01 1.928695420147500e-02
9.210474833456249e+00 2.362037957242448e-01 1.586829258652060e-02
9.301667653589480e+00 2.374903493290836e-01 1.232339117292887e-02
9.392860473722710e+00 2.384463547854743e-01 8.612431083598739e-03
9.484053293855940e+00 2.390549537552318e-01 4.698295163573516e-03
9.575246113989170e+00 2.392960462868063e-01 5.470910120335762e-04
9.666438934122400e+00 2.391466072763148e-01 -3.871364842652556e-03
9.757631754255630e+00 2.385810451675037e-01 -8.583105337583340e-03
9.848824574388860e+00 2.375715988547698e-01 -1.360961714546775e-02
9.940017394522091e+00 2.360887684703500e-01 -1.896749372270008e-02
1.003121021465532e+01 2.341017754901103e-01 -2.466813964537444e-02
1.012240303478855e+01 2.315790473807401e-01 -3.071752836769871e-02
1.021359585492178e+01 2.284887218328457e-01 -3.711601518273289e-02
1.030478867505501e+01 2.247991654774224e-01 -4.385820683360268e-02
1.039598149518824e+01 2.204795018654134e-01 -5.093288891326797e-02
1.048717431532147e+01 2.155001433997294e-01 -5.832301189840788e-02
1.057836713545470e+01 2.098333218449045e-01 -6.600573638068870e-02
1.066955995558793e+01 2.034536120010324e-01 -7.395253777623341e-02
1.076075277572116e+01 1.963384431163404e-01 -8.212937049850154e-02
1.085194559585439e+01 1.884685926285952e-01 -9.049689125605767e-02
1.094313841598762e+01 1.798286568727796e-01 -9.901074076892455e-02
1.103433123612085e+01 1.704074934758708e-01 -1.076218827697187e-01
1.112552405625408e+01 1.601986302851907e-01 -1.162769986546037e-01
1.121671687638731e+01 1.492006358519210e-01 -1.249189355636440e-01
1.130790969652054e+01 1.374174467239664e-01 -1.334872049947414e-01
1.139910251665377e+01 1.248586471006292e-01 -1.419185282908352e-01
1.149029533678700e+01 1.115396967733224e-01 -1.501474244951941e-01
1.158148815692023e+01 9.748210372838069e-02 -1.581068351619536e-01
1.167268097705346e+01 8.271353832452506e-02 -1.657287797653839e-01
1.176387379718669e+01 6.726788658039175e-02 -1.729450344075366e-01
1.185506661731992e+01 5.118524081483819e-02 -1.796878256237613e-01
1.194625943745315e+01 3.451182666824715e-02 -1.858905302791697e-01
1.203745225758638e+01 1.729986638579472e-02 -1.914883718900708e-01
1.212864507771961e+01 -3.926208522825577e-04 -1.964191032466206e-01
1.221983789785284e+01 -1.850207983368263e-02 -2.006236650067164e-01
1.231103071798607e+01 -3.695973879017845e-02 -2.040468100192035e-01
1.240222353811930e+01 -5.569198386908362e-02 -2.066376835476823e-01
1.249341635825254e+01 -7.462078415769280e-02 -2.083503503203452e-01
1.258460917838577e+01 -9.366416203811666e-02 -2.091442604239839e-01
1.267580199851900e+01 -1.127367029840285e-01 -2.089846474696119e-01
1.276699481865223e+01 -1.317500983863716e-01 -2.078428541411318e-01
1.285818763878546e+01 -1.506137146344641e-01 -2.056965821366029e-01
1.294938045891869e+01 -1.692351814983366e-01 -2.025300655475071e-01
1.304057327905192e+01 -1.875209928661438e-01 -1.983341688068011e-01
1.313176609918515e+01 -2.053771130873535e-01 -1.931064123767133e-01
1.322295891931838e+01 -2.227095825496045e-01 -1.868509312465894e-01
1.331415173945161e+01 -2.394251166576443e-01 -1.795783729791230e-01
1.340534455958484e+01 -2.554316930617427e-01 -1.713057434001911e-01
1.349653737971807e+01 -2.706391227690052e-01 -1.620562090088522e-01
1.358773019985130e+01 -2.849596016276030e-01 -1.518588657444938e-01
1.367892301998453e+01 -2.983082395614399e-01 -1.407484838635218e-01
1.377011584011776e+01 -3.106035658103548e-01 -1.287652383462567e-01
1.386130866025099e+01 -3.217680092585493e-01 -1.159544334950609e-01
1.395250148038422e+01 -3.317283536741351e-01 -1.023662292358748e-01
1.404369430051745e+01 -3.404161683024449e-01 -8.805537515269304e-02
1.413488712065068e+01 -3.477682147276353e-01 -7.308095653681906e-02
1.422607994078391e+01 -3.537268312204927e-01 -5.750615479849103e-02
1.431727276091714e+01 -3.582402959120421e-01 -4.139802255241430e-02
1.440846558105037e+01 -3.612631700672579e-01 -2.482727163857655e-02
1.449965840118360e+01 -3.627566224836259e-01 -7.868070363397846e-03
1.459085122131683e+01 -3.626887356161578e-01 9.402155570418989e-03
1.468204404145006e+01 -3.610347934520607e-01 2.690292555225180e-02
1.477323686158329e+01 -3.577775504501226e-01 4.455091833484048e-02
1.486442968171652e+01 -3.529074800541648e-01 6.226020732467061e-02
1.495562250184975e+01 -3.464230004246510e-01 7.994252655296699e-02
1.504681532198298e+01 -3.383306741507416e-01 9.750757691913173e-02
1.513800814211621e+01 -3.286453778536077e-01 1.148633816984570e-01
1.522920096224944e+01 -3.173904368200287e-01 1.319166991567411e-01
1.532039378238267e+01 -3.045977191633910e-01 1.485734984170190e-01
1.541158660251590e+01 -2.903076835462671e-01 1.647395025023299e-01
1.550277942264913e+01 -2.745693742604293e-01 1.803207997842563e-01
1.559397224278236e+01 -2.574403574861589e-01 1.952245219800372e-01
1.568516506291559e+01 -2.389865928740458e-01 2.093595834718561e-01
1.577635788304882e+01 -2.192822352287087e-01 2.226374732104258e-01
1.586755070318205e+01 -1.984093620305878e-01 2.349730869773991e-01
1.595874352331528e+01 -1.764576237986234e-01 2.462855845034810e-01
1.604993634344851e+01 -1.535238158451546e-01 2.564992530680806e-01
1.614112916358174e+01 -1.297113717587265e-01 2.655443569371533e-01
1.623232198371497e+01 -1.051297809074012e-01 2.733579505082839e-01
1.632351480384820e+01 -7.989393430629073e-02 2.798846324751157e-01
1.641470762398143e+01 -5.412340524835002e-02 2.850772188008007e-01
1.650590044411466e+01 -2.794167306007674e-02 2.888973138482553e-01
1.659709326424789e+01 -1.475300115532644e-03 2.913157616330486e-01
1.668828608438112e+01 2.514692627001555e-02 2.923129627517328e-01
1.677947890451435e+01 5.179487432314010e-02 2.918790469352685e-01
1.687067172464758e+01 7.833795723566216e-02 2.900138961652640e-01
1.696186454478081e+01 1.046460178714245e-01 2.867270186062478e-01
1.705305736491404e+01 1.305901953674336e-01 2.820372789600886e-01
1.714425018504727e+01 1.560437609870052e-01 2.759724959443372e-01
1.723544300518050e+01 1.808829117714901e-01 2.685689221576756e-01
1.732663582531373e+01 2.049875121084394e-01 2.598706253837696e-01
1.741782864544696e+01 2.282417752082866e-01 2.499287932151829e-01
1.750902146558019e+01 2.505348785655124e-01 2.388009846329054e-01
1.760021428571342e+01 2.717615096729040e-01 2.265503528065136e-01
1.769140710584665e+01 2.918223404568727e-01 2.132448629064841e-01
1.778259992597988e+01 3.106244310106480e-01 1.989565272276406e-01
1.787379274611311e+01 3.280815651334130e-01 1.837606775461451e-01
1.796498556624634e+01 3.441145218640940e-01 1.677352915437929e-01
1.805617838637957e+01 3.586512885723379e-01 1.509603865261817e-01
1.814737120651280e+01 3.716272221980612e-01 1.335174897359944e-01
1.823856402664603e+01 3.829851658947674e-01 1.154891905134329e-01
1.832975684677927e+01 3.926755286275804e-01 9.695877556064038e-02
1.842094966691250e+01 4.006563352167839e-01 7.800994478022391e-02
1.851214248704573e+01 4.068932539266321e-01 5.872660170693709e-02
1.860333530717896e+01 4.113596080126252e-01 3.919270953526987e-02
1.869452812731219e+01 4.140363767014852e-01 1.949220123645974e-02
1.878572094744542e+01 4.149121899353206e-01 -2.910696950061882e-04
1.887691376757865e+01 4.139833199171097e-01 -2.007335269399024e-02
1.896810658771188e+01 4.112536711026649e-01 -3.977101337551150e-02
